id,word_id,form,grammar,person,tense
1,14,llamo,present,yo,şimdi
2,14,llamas,present,tú,şimdi
3,14,llama,present,él/ella,şimdi
4,14,llamamos,present,nosotros,şimdi
5,14,llamáis,present,vosotros,şimdi
6,14,llaman,present,ellos,şimdi
7,14,llamé,past,yo,di
8,14,llamaste,past,tú,di
9,14,llamó,past,él/ella,di
10,14,llamamos,past,nosotros,di
11,14,llamasteis,past,vosotros,di
12,14,llamaron,past,ellos,di
13,14,llamaré,future,yo,gelecek
14,14,llamarás,future,tú,gelecek
15,14,llamará,future,él/ella,gelecek
16,14,llamaremos,future,nosotros,gelecek
17,14,llamaréis,future,vosotros,gelecek
18,14,llamarán,future,ellos,gelecek
19,15,soy,present,yo,şimdi
20,15,eres,present,tú,şimdi
21,15,es,present,él/ella,şimdi
22,15,somos,present,nosotros,şimdi
23,15,sois,present,vosotros,şimdi
24,15,son,present,ellos,şimdi
25,15,fui,past,yo,di
26,15,fuiste,past,tú,di
27,15,fue,past,él/ella,di
28,15,fuimos,past,nosotros,di
29,15,fuisteis,past,vosotros,di
30,15,fueron,past,ellos,di
31,15,seré,future,yo,gelecek
32,15,serás,future,tú,gelecek
33,15,será,future,él/ella,gelecek
34,15,seremos,future,nosotros,gelecek
35,15,seréis,future,vosotros,gelecek
36,15,serán,future,ellos,gelecek
37,16,estoy,present,yo,şimdi
38,16,estás,present,tú,şimdi
39,16,está,present,él/ella,şimdi
40,16,estamos,present,nosotros,şimdi
41,16,estáis,present,vosotros,şimdi
42,16,están,present,ellos,şimdi
43,16,estuve,past,yo,di
44,16,estuviste,past,tú,di
45,16,estuvo,past,él/ella,di
46,16,estuvimos,past,nosotros,di
47,16,estuvisteis,past,vosotros,di
48,16,estuvieron,past,ellos,di
49,16,estaré,future,yo,gelecek
50,16,estarás,future,tú,gelecek
51,16,estará,future,él/ella,gelecek
52,16,estaremos,future,nosotros,gelecek
53,16,estaréis,future,vosotros,gelecek
54,16,estarán,future,ellos,gelecek
55,61,hablo,present,yo,şimdi
56,61,hablas,present,tú,şimdi
57,61,habla,present,él/ella,şimdi
58,61,hablamos,present,nosotros,şimdi
59,61,habláis,present,vosotros,şimdi
60,61,hablan,present,ellos,şimdi
