193	N	N	madrid
524	N	N	barcelona
891	N	N	psoe
1122	N	N	pp
1358	N	N	perspectivo
1539	N	N	cataluña
1649	N	N	eta
1665	N	N	gonzález
1786	N	N	sevilla
1798	N	N	franco
1821	N	N	ii
1868	N	N	carlos
1891	N	N	juan
1902	N	N	madrid
1907	N	N	valencia
1961	N	N	maría
2103	N	N	felipe gonzález
2379	N	N	pedro
2400	N	N	efe
2412	N	N	antonio
2461	N	N	otan
2482	N	N	andalucía
2485	N	N	xix
2488	N	N	banesto
2535	N	N	aznar
2565	N	N	ciu
2648	N	N	clinton
2737	N	N	iu
2741	N	N	efe
2784	N	N	luis
2789	N	N	pri
2810	N	N	josé
2869	N	N	bilbao
2871	N	N	iii
2967	N	N	felipe
2979	N	N	galicia
3004	N	N	pnv
3013	N	N	zaragoza
3042	N	N	xx
3101	N	N	ugt
3235	N	N	xviii
3239	N	N	ue
3367	N	N	granada
3407	N	N	ap
3423	N	N	abc
3484	N	N	córdoba
3488	N	N	francisco
3501	N	N	corrida
3502	A	A	provisional
3503	N	N	detenido
3504	N	N	hallazgo
3505	N	N	movilización
3506	C	P	en relación a
3508	N	N	desafío
3509	N	N	prisionero
3510	N	N	choque
3511	N	N	puto
3512	N	N	pelea
3513	N	N	mercancía
3514	N	N	teresa
3515	V	V	inducir
3516	N	N	docena
3518	A	A	anónimo
3519	N	N	vientre
3520	V	V	llover
3521	A	A	peculiar
3522	N	N	ascenso
3524	N	N	irregularidad
3526	N	N	gira
3528	V	V	interrogar
3530	A	A	criminal
3531	N	N	divisa
3532	A	A	cerebral
3534	V	V	reflexionar
3535	A	A	pacífico
3536	N	N	finanza
3537	C	C	excepto
3539	N	N	agenda
3541	N	N	nieto
3542	A	A	experimental
3544	V	V	anular
3545	N	N	fachada
3546	N	N	foro
3547	V	V	atrapar
3548	A	A	equivalente
3549	A	A	atento
3550	N	N	mierda
3552	N	N	alza
3553	A	A	celular
3554	N	N	distinción
3555	N	N	invitación
3556	D	R	simultáneamente
3557	N	N	era
3558	N	N	tentación
3559	N	N	reproducción
3561	N	N	vendedor
3562	A	A	desesperado
3563	A	A	verbal
3564	N	N	burguesía
3565	A	A	operativo
3566	N	N	sucesión
3567	V	V	averiguar
3568	V	V	suprimir
3569	A	A	silencioso
3570	A	A	confuso
3571	N	N	acta
3572	N	N	florida
3573	N	N	pesca
3574	N	N	gobernante
3575	V	V	velar
3576	A	A	eventual
3577	N	N	bruselas
3578	A	A	vano
3579	N	N	hielo
3580	A	A	crónico
3582	N	N	monarquía
3583	V	V	ahogar
3584	N	N	hierba
3585	D	R	sumamente
