1	O	el
2	C	de
5	C	a
6	O	un
7	R	se
9	C	que
10	C	del
11	C	por
13	C	con
14	C	para
15	C	al
17	R	lo
18	C	como
20	R	le
23	D	más
24	R	todo
28	R	me
30	R	ese
31	R	otro
34	V	haber
37	C	sobre
38	C	entre
42	C	sin
44	R	mismo
47	N	primero
49	D	muy
50	R	alguno
52	R	nos
56	C	porque
58	D	solo
61	A	nuevo
65	R	te
71	C	ni
72	R	aquel
74	D	donde
81	A	último
87	R	cada
89	D	tan
91	D	así
92	A	bueno
96	N	presidente
98	N	estado
102	D	bien
103	C	sino
104	A	político
110	V	tratar
117	A	nacional
122	N	millón
124	C	contra
126	C	ante
129	D	ayer
131	C	hacia
136	A	social
138	V	realizar
139	C	pues
143	D	menos
147	D	hoy
148	V	producir
153	D	casi
154	V	crear
155	D	cómo
167	R	ninguno
168	A	económico
171	N	segundo
179	N	señor
180	N	noche
186	A	mejor
190	N	historia
192	N	político
196	C	tras
198	A	largo
200	R	varios
201	N	fuerza
204	N	hecho
208	R	mí
209	D	tanto
210	A	único
213	R	cualquiera
220	D	aún
225	V	comenzar
226	R	más
231	R	tal
239	N	siglo
240	N	ministro
242	V	aparecer
245	V	convertir
246	N	acción
247	N	lado
248	R	nadie
251	V	utilizar
252	A	próximo
254	A	humano
257	N	realidad
258	N	programa
262	R	cierto
270	N	tierra
272	V	acabar
275	N	idea
277	V	mostrar
279	N	zona
280	V	formar
282	N	tema
284	N	muerte
287	N	principio
288	C	ya que
289	N	interés
292	A	distinto
294	A	internacional
296	A	solo
300	N	sector
301	N	paso
302	D	incluso
303	R	tanto
305	N	información
308	N	voz
310	N	valor
311	N	figura
314	V	establecer
315	R	ambos
318	N	verdad
319	N	movimiento
320	A	anterior
321	C	a través de
322	N	puerta
323	V	obtener
324	N	posibilidad
325	C	frente a
327	V	alcanzar
330	V	caer
331	N	fondo
332	N	imagen
336	N	orden
339	N	luz
340	N	final
341	A	siguiente
342	N	policía
346	N	peseta
347	N	miembro
348	N	modo
352	V	oír
358	N	necesidad
359	N	estados unidos
360	N	comisión
362	A	diferente
364	N	campo
365	N	organización
366	N	don
367	N	camino
369	V	sentar
370	V	constituir
376	V	referir
377	N	mayoría
378	V	sacar
379	N	decisión
380	N	función
381	R	etcétera
383	N	espacio
384	V	continuar
385	A	europeo
386	N	base
387	N	seguridad
388	C	a partir de
390	V	desarrollar
391	A	popular
392	A	militar
393	N	autor
394	A	real
396	A	malo
398	V	iniciar
400	N	investigación
401	N	juego
402	N	ciento
403	N	capital
406	N	libertad
407	C	caso de
410	N	amor
411	N	arte
412	A	viejo
413	N	dinero
416	N	producción
417	V	levantar
419	N	rey
422	N	ocasión
423	N	población
424	N	méxico
425	N	duda
427	N	falta
430	N	línea
431	N	aspecto
435	D	ahí
437	V	ocupar
440	A	diverso
441	V	informar
443	N	autoridad
446	N	acto
447	N	presencia
449	N	tercero
451	A	fuerte
454	N	dato
456	N	vista
457	N	asunto
458	N	elemento
459	C	a pesar de
460	N	resto
461	N	ex
464	R	demás
467	N	consecuencia
468	V	comprender
470	N	posición
472	V	observar
473	V	sufrir
475	N	artículo
476	N	peso
477	C	junto a
478	N	dólar
480	V	dedicar
482	N	aire
483	V	unir
484	N	técnico
486	N	congreso
487	N	mañana
488	A	natural
492	N	serie
494	D	pronto
495	N	época
496	A	menor
499	V	anunciar
502	A	civil
505	N	región
506	N	uso
507	C	mediante
508	N	comunicación
509	N	enfermedad
510	N	capacidad
511	N	diferencia
512	N	secretario
513	A	dicho
514	V	detener
517	V	provocar
519	V	manifestar
521	D	así como
522	V	declarar
525	A	superior
526	N	término
527	A	contrario
528	N	ministerio
529	V	participar
530	V	expresar
533	N	operación
536	N	control
538	N	cargo
540	N	defensa
541	N	cara
542	V	celebrar
543	N	juez
544	N	prueba
545	N	crisis
552	V	tocar
553	V	afectar
554	N	cuadro
555	N	televisión
556	A	oficial
557	N	europa
558	N	institución
559	N	doctor
560	D	mejor
561	A	privado
564	A	central
565	V	echar
566	N	justicia
567	N	administración
569	N	unidad
571	V	acompañar
572	V	preparar
573	V	actuar
574	N	área
575	N	compañía
576	N	interior
577	V	abandonar
580	N	atención
582	V	colocar
583	V	situar
584	V	acercar
585	N	estructura
587	V	pretender
588	A	histórico
589	A	cultural
591	N	conjunto
595	A	verdadero
596	N	dios
597	N	texto
598	C	además de
600	V	aplicar
602	N	apoyo
607	N	modelo
609	V	mover
616	D	apenas
617	N	título
618	N	conocimiento
619	N	esfuerzo
621	A	personal
622	N	paciente
623	V	cubrir
625	V	entregar
626	N	importancia
627	V	meter
628	R	alguien
629	D	allá
630	N	declaración
631	N	silencio
634	V	disponer
635	N	nación
636	V	reunir
637	A	presente
640	A	grave
645	N	suelo
647	A	mundial
649	V	apoyar
650	V	corresponder
651	N	el
653	N	fecha
654	A	capaz
655	N	ciencia
656	N	solución
657	A	cierto
660	N	cabo
663	N	sol
665	V	andar
667	N	lucha
669	D	especialmente
671	N	ejército
673	N	naturaleza
674	D	quizá
675	V	citar
676	N	diputado
677	A	norteamericano
680	N	encuentro
681	D	dónde
682	V	faltar
683	N	personaje
684	N	materia
685	V	definir
686	V	permanecer
687	V	construir
688	V	agregar
689	V	sostener
691	N	organismo
692	N	informe
694	N	ayuda
695	N	motivo
696	N	concepto
697	A	electoral
698	N	reforma
699	N	régimen
700	V	matar
701	N	tribunal
707	N	expresión
708	A	físico
709	A	pasado
711	A	interno
712	N	planta
713	D	encima
715	N	factor
716	N	documento
717	V	surgir
719	V	defender
722	N	vuelta
723	V	hallar
724	D	demasiado
726	A	técnico
727	V	recoger
728	N	tratamiento
729	N	construcción
730	N	formación
731	N	industria
732	N	jugador
733	N	asociación
734	V	regresar
735	N	cámara
737	N	funcionario
738	N	propuesta
740	N	arma
741	N	existencia
743	N	grado
745	V	advertir
747	A	total
748	N	representante
750	N	muchacho
751	N	período
752	N	líder
754	D	tal vez
755	N	propiedad
756	N	candidato
757	N	crecimiento
758	N	dirigente
759	V	adquirir
760	A	amplio
761	C	mientras que
762	D	precisamente
765	V	impedir
766	N	vía
768	N	izquierda
769	A	suficiente
770	N	américa
771	D	mal
772	N	francia
774	V	organizar
775	V	desaparecer
776	V	aprobar
777	A	local
780	N	radio
781	N	mirada
783	N	curso
784	A	determinado
786	V	contener
787	V	poseer
788	N	característico
789	N	práctica
791	A	directo
792	N	crítico
794	N	contenido
795	N	maestro
796	V	enfrentar
798	N	cuestión
799	A	comercial
800	N	animal
801	N	memoria
805	A	profundo
809	A	socialista
810	N	a
811	N	juicio
812	V	requerir
813	V	lanzar
814	N	salido
815	N	diario
817	N	corte
819	N	análisis
820	A	fundamental
822	N	mitad
823	V	conducir
824	N	marcha
826	N	sala
827	V	determinar
828	V	relacionar
829	A	municipal
830	V	mencionar
831	A	igual
832	A	financiero
833	D	finalmente
836	N	democracia
837	N	aumento
838	N	responsabilidad
839	N	venta
840	N	oposición
841	N	visita
844	A	inmediato
845	N	creación
847	N	contacto
848	N	fuego
849	A	científico
851	R	ti
853	N	teoría
855	D	bastante
858	V	quitar
860	N	esposo
862	N	terreno
863	V	confirmar
867	N	comercio
868	A	simple
869	N	favor
870	N	golpe
872	V	insistir
873	C	en cuanto a
876	N	presión
878	A	exterior
879	N	conciencia
880	C	debido a
881	V	integrar
882	V	preocupar
883	A	máximo
884	N	negocio
887	V	concluir
890	N	derecha
892	V	basar
893	V	importar
896	V	marcar
897	A	profesional
900	D	atrás
902	V	acordar
905	N	ejercicio
908	V	fijar
909	N	puesto
910	N	ingreso
911	N	novela
912	V	aprovechar
913	N	suerte
914	N	pensamiento
915	A	numeroso
918	N	método
920	N	periódico
922	N	estilo
923	N	club
924	N	departamento
925	N	república
926	N	rostro
927	N	voluntad
930	N	circunstancia
931	A	vivo
932	V	acudir
933	N	escena
935	D	ni siquiera
936	A	absoluto
939	D	adelante
941	N	agente
942	N	escritor
943	C	pese a
944	N	altura
945	V	extender
946	N	cielo
947	V	adoptar
949	A	dispuesto
950	A	final
951	V	vestir
952	V	efectuar
953	N	cuarto
954	V	recuperar
